# route_id;npc_id;move_point;chatText;move_x;move_y;move_z;delay;running

1;31361;1;NULL;22418;10249;-3648;61;True
1;31361;2;NULL;23423;11165;-3720;1;True
1;31361;3;NULL;20182;11101;-3720;1;True
1;31361;4;NULL;17327;13603;-3728;1;True
1;31361;5;The mass of darkness will start in a couple of days. Pay more attention to the guard!;17410;13038;-3736;10;True
1;31361;6;NULL;20176;12902;-3712;1;True
1;31361;7;NULL;21669;13378;-3616;1;True
1;31361;8;NULL;20675;10401;-3712;1;True
2;31360;1;NULL;10826;14777;-4240;62;False
2;31360;2;NULL;10966;14626;-4240;1;False
2;31360;3;NULL;11264;15838;-4584;1;False
2;31360;4;NULL;12100;16378;-4590;2;False
2;31360;5;Youre a hard worker Rayla!;15088;15664;-4376;6;False
2;31360;6;NULL;15232;16279;-4383;7;False
2;31360;7;NULL;12217;16916;-4590;1;False
2;31360;8;NULL;11811;17553;-4580;1;False
2;31360;9;NULL;11275;17628;-4589;1;False
2;31360;10;NULL;10649;17284;-4584;1;False
2;31360;11;Youre a hard worker!;7691;18030;-4376;6;False
2;31360;12;NULL;10593;16738;-4590;2;False
2;31360;13;NULL;11127;16044;-4589;2;False
3;31362;1;Mr. Lid Murdoc and Airy! How are you doing?;114847;-180066;-877;30;False
3;31362;2;NULL;114834;-179685;-877;2;False
3;31362;3;NULL;116122;-179457;-1068;1;False
3;31362;4;NULL;116798;-180391;-1200;2;False
3;31362;5;NULL;116324;-181564;-1384;2;False
3;31362;6;NULL;115797;-181563;-1336;1;False
3;31362;7;Care to go a round?;116054;-181575;-1352;1;False
3;31362;8;NULL;116506;-181478;-1384;2;False
3;31362;9;NULL;116634;-180029;-1160;1;False
3;31362;10;NULL;115347;-178623;-928;1;False
3;31362;11;NULL;115763;-177591;-888;2;False
3;31362;12;Have a nice day Mr. Garita and Mion!;115801;-177342;-880;1;False
3;31362;13;NULL;115869;-177340;-880;15;False
3;31362;14;NULL;115788;-177482;-880;3;False
3;31362;15;NULL;115124;-179821;-885;1;False
3;31362;16;NULL;115103;-180065;-877;1;False
4;31363;1;Where is that fool hiding?;116731;-182477;-1512;10;True
4;31363;2;NULL;115870;-183280;-1472;1;True
4;31363;3;NULL;115746;-183428;-1472;1;True
4;31363;4;NULL;115870;-183280;-1472;1;True
4;31363;5;NULL;115999;-183246;-1480;1;True
4;31363;6;NULL;116094;-183113;-1480;1;True
4;31363;7;Have you seen Torocco today?;116584;-184294;-1568;11;True
4;31363;8;NULL;116392;-184100;-1560;1;True
4;31363;9;NULL;117093;-182524;-1528;1;True
4;31363;10;Have you seen Torocco?;117789;-182540;-1528;11;True
5;31359;1;NULL;45744;50561;-3065;61;False
5;31359;2;NULL;46444;49742;-3065;2;False
5;31359;3;How can we save the Mother Tree?;46103;48798;-3065;5;False
5;31359;4;The Mother Tree is slowly dying;45403;48436;-3065;5;False
