[12/03/2020 20:58:51] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_invul], Params: [] 
[12/03/2020 20:58:52] --> GM: ArTeMiS [268477359], Target: [no-target], Action: [admin_invis], Params: [] 
[12/03/2020 21:01:15] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_setcolor ffffff], Params: [] 
[12/03/2020 21:01:16] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_invul], Params: [] 
[12/03/2020 21:01:17] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_vis], Params: [] 
[12/03/2020 21:01:26] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_invul], Params: [] 
[12/03/2020 21:01:38] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_instant_move], Params: [] 
[12/03/2020 21:03:19] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_setlevel 79], Params: [] 
[12/03/2020 21:20:01] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_itemcreate], Params: [] 
[12/03/2020 21:20:08] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_create_item], Params: [ 57 100000000] 
[12/03/2020 21:20:28] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_setew 8], Params: [] 
[12/03/2020 21:21:24] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_admin], Params: [] 
[12/03/2020 21:21:26] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_gmshop], Params: [] 
[12/03/2020 21:21:28] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[12/03/2020 21:21:29] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[12/03/2020 21:21:36] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_buy], Params: [ 9036] 
[12/03/2020 21:21:45] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_admin], Params: [] 
[12/03/2020 21:21:47] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_gmshop], Params: [] 
[12/03/2020 21:21:48] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[12/03/2020 21:21:50] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[12/03/2020 21:21:55] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_buy], Params: [ 9043] 
[12/03/2020 21:22:00] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_itemcreate], Params: [] 
[12/03/2020 21:22:01] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_admin], Params: [] 
[12/03/2020 21:22:03] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_gmshop], Params: [] 
[12/03/2020 21:22:05] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_buy], Params: [ 71031] 
[12/03/2020 21:45:37] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:45:39] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:45:44] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 7] 
[12/03/2020 21:45:48] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 6] 
[12/03/2020 21:45:54] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 5] 
[12/03/2020 21:45:57] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 3] 
[12/03/2020 21:46:07] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 2] 
[12/03/2020 21:46:22] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 1] 
[12/03/2020 21:46:26] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:46:29] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 6] 
[12/03/2020 21:46:31] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 5] 
[12/03/2020 21:46:36] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:46:40] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 3] 
[12/03/2020 21:46:45] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 2] 
[12/03/2020 21:46:49] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 1] 
[12/03/2020 21:46:51] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:46:55] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 7] 
[12/03/2020 21:46:59] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 6] 
[12/03/2020 21:47:12] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 5] 
[12/03/2020 21:47:24] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:47:25] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:47:30] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_add_skill], Params: [ 1159 130] 
[12/03/2020 21:47:58] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:48:02] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ skills/DarkElf/delf.htm] 
[12/03/2020 21:48:05] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_help], Params: [ skills/DarkElf/DE_Spellhowler.htm] 
[12/03/2020 21:48:11] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:48:12] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:48:14] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 5] 
[12/03/2020 21:48:17] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:48:23] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 3] 
[12/03/2020 21:48:31] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:48:32] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:48:36] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_add_skill], Params: [ 1147 130] 
[12/03/2020 21:48:40] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:48:46] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_add_skill], Params: [ 1147 130] 
[12/03/2020 21:48:48] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:48:49] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 2] 
[12/03/2020 21:48:50] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 3] 
[12/03/2020 21:49:12] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_remove_skills], Params: [ 2] 
[12/03/2020 21:49:16] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:49:26] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:49:27] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:49:32] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:49:34] --> GM: ArTeMiS [268477359], Target: [ArTeMiS], Action: [admin_current_player], Params: [] 
[12/03/2020 21:49:44] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:49:45] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:49:47] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:50:09] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
[12/03/2020 21:50:11] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:50:16] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_add_skill], Params: [ 1239 130] 
[12/03/2020 21:50:17] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_skill_list], Params: [] 
[12/03/2020 21:50:23] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_add_skill], Params: [ 1234 130] 
[12/03/2020 21:50:26] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 0] 
[12/03/2020 21:50:28] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:50:29] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 4] 
[12/03/2020 21:50:31] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 3] 
[12/03/2020 21:50:35] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 5] 
[12/03/2020 21:50:37] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 1] 
[12/03/2020 21:50:40] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_remove_skills], Params: [ 2] 
[12/03/2020 21:50:48] --> GM: ArTeMiS [268477359], Target: [Shanju], Action: [admin_show_skills], Params: [] 
