[12/03/2020 18:45:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[12/03/2020 18:45:41] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[12/03/2020 18:45:56] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_recall ghemax], Params: [] 
[12/03/2020 18:46:08] --> GM: Bangsat [268479153], Target: [GheMaX], Action: [admin_setlevel 80], Params: [] 
[12/03/2020 18:46:56] --> GM: Bangsat [268479153], Target: [RequestTimeOut], Action: [admin_setew], Params: [] 
[12/03/2020 18:47:02] --> GM: Bangsat [268479153], Target: [RequestTimeOut], Action: [admin_setew], Params: [ 65000] 
[12/03/2020 18:47:06] --> GM: Bangsat [268479153], Target: [RequestTimeOut], Action: [admin_setec], Params: [ 50000] 
[12/03/2020 18:47:08] --> GM: Bangsat [268479153], Target: [RequestTimeOut], Action: [admin_setle], Params: [ 55555] 
[12/03/2020 18:47:17] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 25325], Params: [] 
[12/03/2020 18:47:44] --> GM: Bangsat [268479153], Target: [RequestTimeOut], Action: [admin_setlevel 80], Params: [] 
[12/03/2020 18:49:09] --> GM: Bangsat [268479153], Target: [Flame of Splendor Barakiel], Action: [admin_delete], Params: [] 
[12/03/2020 18:49:19] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 25325], Params: [] 
[12/03/2020 18:55:37] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[12/03/2020 18:56:01] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[12/03/2020 18:56:03] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[12/03/2020 19:01:29] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[12/03/2020 19:01:31] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin3], Params: [] 
[12/03/2020 19:01:48] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_effect_menu], Params: [ stealth] 
[12/03/2020 19:02:14] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect stealth 1 2], Params: [] 
[12/03/2020 19:02:36] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect stealth 1 1], Params: [] 
[12/03/2020 19:02:39] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [] 
[12/03/2020 19:04:03] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[12/03/2020 19:04:06] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_find_character], Params: [] 
[13/03/2020 6:06:40] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:06:41] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 6:06:45] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 6:06:57] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:07:01] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 6:11:51] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:16:30] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_admin], Params: [] 
[13/03/2020 6:16:31] --> GM: Bangsat [268479153], Target: [Lilim Court Knight], Action: [admin_invis_menu], Params: [] 
[13/03/2020 6:16:35] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:16:37] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 6:17:07] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_repair], Params: [] 
[13/03/2020 6:24:00] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 6:24:03] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_move_to], Params: [] 
[13/03/2020 6:24:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 6:24:06] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/03/2020 6:24:08] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 6:24:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns/hv.htm] 
[13/03/2020 6:24:14] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_move_to], Params: [ 116589 76268 -2734] 
[13/03/2020 6:37:21] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:37:23] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 6:37:26] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 6:41:25] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:41:27] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 6:41:35] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 6:54:24] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 6:54:26] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 6:54:28] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 6:54:29] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_help], Params: [ tele/towns/hv.htm] 
[13/03/2020 6:54:31] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_move_to], Params: [ 116589 76268 -2734] 
[13/03/2020 8:02:28] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 8:02:32] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 8:02:35] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_character_info], Params: [ Lemon] 
[13/03/2020 8:02:50] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 8:02:52] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_character], Params: [] 
[13/03/2020 8:02:57] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_character_info], Params: [ Warcryer] 
[13/03/2020 8:03:00] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_find_ip], Params: [ 112.215.237.185] 
[13/03/2020 8:03:03] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 8:21:31] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 8:21:35] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_create_item], Params: [ 1] 
[13/03/2020 8:21:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 8:21:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_move_to], Params: [] 
[13/03/2020 8:21:40] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 8:21:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/03/2020 8:21:43] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[13/03/2020 8:52:33] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 8:52:37] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin3], Params: [] 
[13/03/2020 8:52:41] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 8:52:48] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 100000 1] 
[13/03/2020 8:53:03] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4 15] 
[13/03/2020 8:53:18] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin3], Params: [] 
[13/03/2020 8:53:19] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect_menu], Params: [] 
[13/03/2020 8:53:24] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [] 
[13/03/2020 8:53:28] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 80000] 
[13/03/2020 8:53:49] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 80000] 
[13/03/2020 8:53:53] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 8:54:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 8:54:12] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 100000] 
[13/03/2020 8:54:23] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 100000] 
[13/03/2020 8:54:29] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:55:02] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 8:55:13] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 4000] 
[13/03/2020 8:55:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8000] 
[13/03/2020 8:55:29] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 2000] 
[13/03/2020 8:55:30] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 2000] 
[13/03/2020 8:55:32] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200] 
[13/03/2020 8:55:34] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200] 
[13/03/2020 8:55:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:55:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 400000] 
[13/03/2020 8:55:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 8:56:23] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 200000] 
[13/03/2020 8:56:25] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 8:56:31] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 8:56:33] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 8:56:37] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 8] 
[13/03/2020 8:56:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1] 
[13/03/2020 8:56:41] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10] 
[13/03/2020 8:56:44] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 10] 
[13/03/2020 8:56:46] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 2] 
[13/03/2020 8:56:48] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 2] 
[13/03/2020 8:56:50] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 8:56:57] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 1000] 
[13/03/2020 8:57:01] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:57:04] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:57:05] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:57:06] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_abnormal_menu], Params: [ 20] 
[13/03/2020 8:57:36] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 8:57:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_invis_menu], Params: [] 
[13/03/2020 9:00:44] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 9:00:46] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 9:00:49] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_create_item], Params: [ 57 555555555] 
[13/03/2020 9:10:26] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_spawn 50], Params: [] 
[13/03/2020 9:10:38] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_add_exp_sp_to_character], Params: [] 
[13/03/2020 9:10:47] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_setlevel], Params: [ 80] 
[13/03/2020 9:13:12] --> GM: Bangsat [268479153], Target: [Effect baium], Action: [admin_delete], Params: [] 
[13/03/2020 9:22:20] --> GM: Bangsat [268479153], Target: [QZRUH], Action: [admin_gmspeed 3], Params: [] 
[13/03/2020 9:28:39] --> GM: Bangsat [268479153], Target: [no-target], Action: [admin_effect batlle_force 1 1], Params: [] 
[13/03/2020 9:31:26] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_effect charge 1 10], Params: [] 
[13/03/2020 9:31:35] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin], Params: [] 
[13/03/2020 9:31:38] --> GM: Bangsat [268479153], Target: [Bangsat], Action: [admin_admin3], Params: [] 
