[13/03/2020 2:28:45] --> GM: GRAND [268477351], Target: [SinClaire], Action: [admin_admin], Params: [] 
[13/03/2020 2:28:47] --> GM: GRAND [268477351], Target: [SinClaire], Action: [admin_admin2], Params: [] 
[13/03/2020 2:28:48] --> GM: GRAND [268477351], Target: [SinClaire], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:29:02] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_sethero], Params: [] 
[13/03/2020 2:29:55] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_sethero], Params: [] 
[13/03/2020 2:34:03] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_admin], Params: [] 
[13/03/2020 2:34:04] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_admin2], Params: [] 
[13/03/2020 2:34:13] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_pledge], Params: [ setlevel] 
[13/03/2020 2:34:20] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_pledge], Params: [ setlevel 5] 
[13/03/2020 2:34:50] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_admin], Params: [] 
[13/03/2020 2:34:53] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_admin2], Params: [] 
[13/03/2020 2:35:15] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_pledge], Params: [ rep 5000] 
[13/03/2020 2:43:04] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_setew 0], Params: [] 
[13/03/2020 2:44:00] --> GM: GRAND [268477351], Target: [kvlar], Action: [admin_find_account], Params: [ kvlar] 
[13/03/2020 2:44:10] --> GM: GRAND [268477351], Target: [kvlar], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:49:57] --> GM: GRAND [268477351], Target: [kvlar], Action: [admin_admin], Params: [] 
[13/03/2020 2:50:00] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 2:50:01] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:50:04] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_character_info], Params: [ AngelicDemon] 
[13/03/2020 2:50:09] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:50:17] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin2], Params: [] 
[13/03/2020 2:50:24] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_char_manage], Params: [] 
[13/03/2020 2:50:29] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin2], Params: [] 
[13/03/2020 2:50:39] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin4], Params: [] 
[13/03/2020 2:50:41] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin3], Params: [] 
[13/03/2020 2:50:47] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin2], Params: [] 
[13/03/2020 2:50:49] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin], Params: [] 
[13/03/2020 2:51:41] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_vis], Params: [] 
[13/03/2020 2:53:40] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 2:53:42] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin2], Params: [] 
[13/03/2020 2:53:44] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:53:46] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_character_info], Params: [ GRAND] 
[13/03/2020 2:53:47] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_skills], Params: [] 
[13/03/2020 2:53:51] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_remove_all_skills], Params: [] 
[13/03/2020 2:53:53] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 2:53:55] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin2], Params: [] 
[13/03/2020 2:53:56] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 2:53:58] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_character_info], Params: [ GRAND] 
[13/03/2020 2:54:00] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_skills], Params: [] 
[13/03/2020 2:54:01] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_give_all_skills], Params: [] 
[13/03/2020 2:54:50] --> GM: GRAND [268477351], Target: [Maximilian], Action: [admin_invul], Params: [] 
[13/03/2020 2:57:12] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_gmshop], Params: [] 
[13/03/2020 2:57:17] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_buy], Params: [ 71023] 
[13/03/2020 2:57:21] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_gmshop], Params: [] 
[13/03/2020 2:57:24] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_buy], Params: [ 9121] 
[13/03/2020 3:02:20] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin], Params: [] 
[13/03/2020 3:02:22] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_admin2], Params: [] 
[13/03/2020 3:02:24] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 3:02:25] --> GM: GRAND [268477351], Target: [GRAND], Action: [admin_character_info], Params: [ AngelicDemon] 
[13/03/2020 3:02:27] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_show_skills], Params: [] 
[13/03/2020 3:02:30] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_skill_list], Params: [] 
[13/03/2020 3:02:46] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_help], Params: [ skills/DarkElf/delf.htm] 
[13/03/2020 3:02:50] --> GM: GRAND [268477351], Target: [AngelicDemon], Action: [admin_help], Params: [ skills/DarkElf/DE_StormScreamer.htm] 
[13/03/2020 3:08:10] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_vis], Params: [] 
[13/03/2020 3:10:08] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin], Params: [] 
[13/03/2020 3:10:11] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin3], Params: [] 
[13/03/2020 3:10:12] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_admin2], Params: [] 
[13/03/2020 3:10:13] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 3:10:15] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_character_info], Params: [ Aegis] 
[13/03/2020 3:10:17] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_edit_character], Params: [] 
[13/03/2020 3:10:25] --> GM: GRAND [268477351], Target: [Aegis], Action: [admin_rec], Params: [ 255] 
[13/03/2020 3:14:04] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_recall aegis], Params: [] 
[13/03/2020 8:00:40] --> GM: GRAND [268477351], Target: [no-target], Action: [admin_admin], Params: [] 
