[13/03/2020 17:41:12] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:41:20] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_ride_wyvern], Params: [] 
[13/03/2020 17:42:49] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_reload html], Params: [] 
[13/03/2020 17:42:59] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_reload htm], Params: [] 
[13/03/2020 17:43:11] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:43:19] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmliston], Params: [] 
[13/03/2020 17:43:24] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:43:27] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmlistoff], Params: [] 
[13/03/2020 17:43:31] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 17:43:44] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmchat_menu], Params: [] 
[13/03/2020 17:43:51] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmchat], Params: [] 
[13/03/2020 17:44:08] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmchat a], Params: [] 
[13/03/2020 17:44:13] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_announce_menu], Params: [] 
[13/03/2020 17:44:23] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:04:25] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin4], Params: [] 
[13/03/2020 18:04:35] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_stats], Params: [] 
[13/03/2020 18:05:01] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:05:09] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 18:05:22] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_manualhero], Params: [] 
[13/03/2020 18:06:15] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin], Params: [] 
[13/03/2020 18:06:17] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin2], Params: [] 
[13/03/2020 18:06:30] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin], Params: [] 
[13/03/2020 18:06:33] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin3], Params: [] 
[13/03/2020 18:06:40] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin4], Params: [] 
[13/03/2020 18:06:46] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_admin], Params: [] 
[13/03/2020 18:06:53] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_enchant], Params: [] 
[13/03/2020 18:06:57] --> GM: Kiyara [268480681], Target: [Maximus], Action: [admin_seteh], Params: [] 
[13/03/2020 18:07:59] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_admin], Params: [] 
[13/03/2020 18:08:00] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_create_item], Params: [] 
[13/03/2020 18:08:11] --> GM: Kiyara [268480681], Target: [Kiyara], Action: [admin_create_item], Params: [ 9905] 
[13/03/2020 18:15:12] --> GM: Kiyara [268480681], Target: [Olympiad], Action: [admin_admin], Params: [] 
[13/03/2020 18:15:20] --> GM: Kiyara [268480681], Target: [Looney the Cat], Action: [admin_kill_menu], Params: [] 
[13/03/2020 18:15:30] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_jail], Params: [] 
[13/03/2020 18:15:30] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_jail], Params: [] 
[13/03/2020 18:15:35] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:15:37] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_unjail], Params: [] 
[13/03/2020 18:15:52] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_unjail Qzruh], Params: [] 
[13/03/2020 18:15:52] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_unjail], Params: [] 
[13/03/2020 18:16:02] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:20:18] --> GM: Kiyara [268480681], Target: [splitzfire], Action: [admin_admin], Params: [] 
[13/03/2020 18:20:32] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_announce_menu], Params: [] 
[13/03/2020 18:20:40] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 18:20:43] --> GM: Kiyara [268480681], Target: [QZRUH], Action: [admin_gmshop], Params: [] 
[13/03/2020 18:20:48] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_buy], Params: [ 71021] 
[13/03/2020 18:20:56] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:21:15] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:21:18] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_gmshop], Params: [] 
[13/03/2020 18:21:22] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_buy], Params: [ 71031] 
[13/03/2020 18:22:36] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 18:22:45] --> GM: Kiyara [268480681], Target: [no-target], Action: [admin_admin2], Params: [] 
