[13/03/2020 10:29:48] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_recall rudz], Params: [] 
[13/03/2020 10:30:08] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:30:12] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [] 
[13/03/2020 10:30:23] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [ 57 500000000] 
[13/03/2020 10:30:26] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:30:29] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [] 
[13/03/2020 10:30:38] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [ 5575 200000000] 
[13/03/2020 10:37:15] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_recall rudz], Params: [] 
[13/03/2020 10:37:39] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setew], Params: [] 
[13/03/2020 10:38:00] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteh], Params: [ 16] 
[13/03/2020 10:38:06] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setec], Params: [ 16] 
[13/03/2020 10:38:10] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setew], Params: [ 16] 
[13/03/2020 10:38:12] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setes], Params: [ 16] 
[13/03/2020 10:38:15] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setre], Params: [ 16] 
[13/03/2020 10:38:18] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setel], Params: [ 16] 
[13/03/2020 10:38:20] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteg], Params: [ 16] 
[13/03/2020 10:38:22] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteb], Params: [ 16] 
[13/03/2020 10:38:28] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setrf], Params: [ 16] 
[13/03/2020 10:38:30] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setlf], Params: [ 16] 
[13/03/2020 10:38:32] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setle], Params: [ 16] 
[13/03/2020 10:38:34] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setre], Params: [ 16] 
[13/03/2020 10:38:38] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seten], Params: [ 16] 
[13/03/2020 10:39:11] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:39:11] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:39:17] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_find_character], Params: [] 
[13/03/2020 10:39:21] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_character_info], Params: [ Rudz] 
[13/03/2020 10:39:25] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_add_exp_sp_to_character], Params: [] 
[13/03/2020 10:39:31] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setlevel], Params: [ 80] 
[13/03/2020 10:41:42] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:41:45] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [] 
[13/03/2020 10:41:54] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [ 57 500000000] 
[13/03/2020 10:41:56] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:41:56] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_admin], Params: [] 
[13/03/2020 10:41:58] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [] 
[13/03/2020 10:42:09] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_create_item], Params: [ 5575 200000000] 
[13/03/2020 10:44:46] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setew], Params: [] 
[13/03/2020 10:44:51] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteh], Params: [ 16] 
[13/03/2020 10:44:55] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setew], Params: [ 16] 
[13/03/2020 10:44:58] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setec], Params: [ 16] 
[13/03/2020 10:45:02] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setes], Params: [ 16] 
[13/03/2020 10:45:05] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteg], Params: [ 16] 
[13/03/2020 10:45:07] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_setel], Params: [ 16] 
[13/03/2020 10:45:09] --> GM: splitzfire [268477387], Target: [Rudz], Action: [admin_seteb], Params: [ 16] 
[13/03/2020 11:24:23] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 11:24:25] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin3], Params: [] 
[13/03/2020 11:24:30] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin4], Params: [] 
[13/03/2020 12:21:15] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_sethero], Params: [] 
[13/03/2020 12:21:19] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin], Params: [] 
[13/03/2020 12:21:21] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin2], Params: [] 
[13/03/2020 12:21:25] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin], Params: [] 
[13/03/2020 12:21:28] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_create_item], Params: [] 
[13/03/2020 12:21:38] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_create_item], Params: [ 9576 100] 
[13/03/2020 12:22:46] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_admin], Params: [] 
[13/03/2020 12:22:48] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_create_item], Params: [] 
[13/03/2020 12:23:57] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_create_item], Params: [ 9576 1] 
[13/03/2020 12:24:36] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_gmshop], Params: [] 
[13/03/2020 12:25:13] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_admin], Params: [] 
[13/03/2020 12:25:19] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_create_item], Params: [] 
[13/03/2020 12:28:48] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_create_item], Params: [ #9576 1] 
[13/03/2020 12:29:38] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 12:29:41] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 12:29:45] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 12:29:52] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 12:29:59] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ tele/locations/interlude.htm] 
[13/03/2020 12:30:06] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_move_to], Params: [ 8264 -14431 -3696] 
[13/03/2020 12:30:26] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmspeed 4], Params: [] 
[13/03/2020 12:31:12] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmspeed 2], Params: [] 
[13/03/2020 12:33:31] --> GM: splitzfire [268477387], Target: [Pterosaur], Action: [admin_gmspeed 4], Params: [] 
[13/03/2020 12:34:11] --> GM: splitzfire [268477387], Target: [Sailren], Action: [admin_show_droplist], Params: [ 59] 
[13/03/2020 12:35:10] --> GM: splitzfire [268477387], Target: [Pterosaur], Action: [admin_show_droplist], Params: [ 22199] 
[13/03/2020 12:35:35] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 12:35:37] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_move_to], Params: [] 
[13/03/2020 12:35:40] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[13/03/2020 12:35:45] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/03/2020 12:35:49] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[13/03/2020 12:36:05] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmspeed 2], Params: [] 
[13/03/2020 12:36:36] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_gmspeed 4], Params: [] 
[13/03/2020 12:38:09] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_admin], Params: [] 
[13/03/2020 12:38:13] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_create_item], Params: [] 
[13/03/2020 12:38:19] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_create_item], Params: [ 9902] 
[13/03/2020 12:39:31] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_admin], Params: [] 
[13/03/2020 12:39:35] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_enchant], Params: [] 
[13/03/2020 12:39:43] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_setew], Params: [] 
[13/03/2020 12:40:12] --> GM: splitzfire [268477387], Target: [kvlar], Action: [admin_admin], Params: [] 
[13/03/2020 12:40:16] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_enchant], Params: [] 
[13/03/2020 12:40:35] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_setew], Params: [ 20] 
[13/03/2020 12:40:46] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_setew], Params: [ 0] 
[13/03/2020 12:40:54] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_admin], Params: [] 
[13/03/2020 12:40:57] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_create_item], Params: [] 
[13/03/2020 12:41:02] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_create_item], Params: [ 9904] 
[13/03/2020 12:49:12] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_heal], Params: [] 
[13/03/2020 12:49:36] --> GM: splitzfire [268477387], Target: [Crackz], Action: [admin_res], Params: [] 
[13/03/2020 12:49:43] --> GM: splitzfire [268477387], Target: [splitzfire], Action: [admin_heal], Params: [] 
[13/03/2020 12:49:57] --> GM: splitzfire [268477387], Target: [ArTeMiS], Action: [admin_admin], Params: [] 
[13/03/2020 12:49:59] --> GM: splitzfire [268477387], Target: [ArTeMiS], Action: [admin_admin2], Params: [] 
[13/03/2020 12:50:03] --> GM: splitzfire [268477387], Target: [ArTeMiS], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 12:50:13] --> GM: splitzfire [268477387], Target: [ArTeMiS], Action: [admin_character_info], Params: [ SinClaire] 
[13/03/2020 12:50:15] --> GM: splitzfire [268477387], Target: [SinClaire], Action: [admin_add_exp_sp_to_character], Params: [] 
[13/03/2020 12:50:22] --> GM: splitzfire [268477387], Target: [SinClaire], Action: [admin_setlevel], Params: [ 80] 
[13/03/2020 12:52:07] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin], Params: [] 
[13/03/2020 12:52:09] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin2], Params: [] 
[13/03/2020 12:52:12] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 12:52:14] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_character_info], Params: [ Sayangku] 
[13/03/2020 12:52:20] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 12:52:25] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin2], Params: [] 
[13/03/2020 12:52:36] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin], Params: [] 
[13/03/2020 12:52:37] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin2], Params: [] 
[13/03/2020 12:52:38] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_char_manage], Params: [] 
[13/03/2020 12:52:45] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin2], Params: [] 
[13/03/2020 12:52:53] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_admin], Params: [] 
[13/03/2020 13:09:23] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_res], Params: [] 
[13/03/2020 13:09:35] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_setew], Params: [] 
[13/03/2020 13:09:40] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_setew], Params: [ 15] 
[13/03/2020 13:09:53] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:09:56] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 13:09:58] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:10:01] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_character_info], Params: [ QZRUH] 
[13/03/2020 13:10:04] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_recall_char_menu], Params: [ QZRUH] 
[13/03/2020 13:11:05] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin], Params: [] 
[13/03/2020 13:11:07] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 13:11:09] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:11:11] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_character_info], Params: [ QZRUH] 
[13/03/2020 13:11:13] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_recall_char_menu], Params: [ QZRUH] 
[13/03/2020 13:12:03] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:12:05] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 13:12:06] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:12:08] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_character_info], Params: [ Sayangku] 
[13/03/2020 13:12:09] --> GM: splitzfire [268477387], Target: [Sayangku], Action: [admin_goto_char_menu], Params: [ Sayangku] 
[13/03/2020 13:12:13] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/03/2020 13:12:14] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:12:18] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_character_info], Params: [ QZRUH] 
[13/03/2020 13:12:20] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_recall_char_menu], Params: [ QZRUH] 
[13/03/2020 13:12:51] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:13:03] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 13:13:04] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:13:06] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_character_info], Params: [ QZRUH] 
[13/03/2020 13:13:09] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_show_characters], Params: [ 0] 
[13/03/2020 13:13:12] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin2], Params: [] 
[13/03/2020 13:13:18] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_admin], Params: [] 
[13/03/2020 13:13:20] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [] 
[13/03/2020 13:13:28] --> GM: splitzfire [268477387], Target: [QZRUH], Action: [admin_create_item], Params: [ 5575 1000000] 
[13/03/2020 13:34:17] --> GM: splitzfire [268477387], Target: [no-target], Action: [admin_gmshop], Params: [] 
